Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,2025-10-07,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Europe & Central Asia (excluding high income),ECA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.656241871,1.858314492,4.900465382,2.605626616,1.400459914,-0.424214115,8.383631122,3.660424503,5.829835479,3.15851843
Europe & Central Asia,ECS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.648020631,1.425085165,2.47694734,1.717775898,1.495579202,-5.587582718,6.682238151,3.261146148,1.006168432,1.206913336
Ecuador,ECU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.30274985,-2.125508822,4.361954674,-0.67455896,-1.512531548,-10.31083392,8.577895442,5.02829597,1.102305913,-2.840963263
"Egypt, Arab Rep.",EGY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.20415858,2.244973756,2.120154772,3.351667532,3.715840886,1.881119759,1.762204843,5.01555865,2.023158424,0.639636335
Euro area,EMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.857711669,1.540643226,2.395995,1.460240837,1.442203282,-6.178944371,6.290734463,3.099617018,-0.037637744,0.623989347
Eritrea,ERI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,
Spain,ESP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.147011936,2.835771241,2.646170611,1.93406292,1.233037412,-11.39312905,6.493367388,5.418773892,1.482561028,2.179654085
Estonia,EST,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.77141702,3.063010903,5.506857314,3.339409364,3.341963617,-3.075480078,7.040926485,-1.268031117,-4.540800666,-0.384590772
Ethiopia,ETH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.468076766,6.509914561,6.6186207,3.974075459,5.48664148,3.223115995,2.855657631,2.595399676,3.854750252,4.579667789
European Union,EUU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.169242191,1.743580939,2.645393366,1.823370823,1.744814138,-5.56508756,6.51053649,3.150937905,0.070476063,0.85494516
Fragile and conflict affected situations,FCS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.396498549,-0.081852861,0.323253906,0.52324052,0.086223849,-7.11051082,0.223556596,-0.663208703,-0.029363886,-0.670309092
Finland,FIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.136127694,2.277543731,3.061231693,1.058843157,1.238120975,-2.630998553,2.4637305,0.489394589,-1.440138245,-1.098312364
Fiji,FJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.388232658,2.380116253,5.400034926,3.991072632,-0.334080464,-17.04447036,-5.062410641,19.43950686,6.974770196,3.310403901
France,FRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.70803059,0.594243752,1.787795494,1.282166037,1.688708441,-7.740567513,6.501552198,2.235989289,0.607649203,0.827702874
Faroe Islands,FRO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.018524822,0.232465867,2.035038749,1.119361202,2.929852887,-3.085619797,4.043687319,2.361597138,1.525146256,
"Micronesia, Fed. Sts.",FSM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.313934826,0.15337714,0.449152479,-0.38941306,3.729603773,-2.234995239,2.445771809,-3.33022071,0.0218016,0.247352209
Gabon,GAB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.693296575,-0.79183198,-2.163617741,-1.688047436,1.382575991,-4.155280833,-0.845244789,0.747533659,0.217772009,1.17843756
United Kingdom,GBR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.487878716,1.115433825,2.097827902,0.911082995,1.10286256,-10.44878941,8.186929194,3.877600166,-0.904567615,0.028702272
Georgia,GEO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.188392949,3.388353283,5.145826776,6.103447451,5.561671659,-6.354787152,11.06507801,10.84220881,7.745685517,10.66864454
Ghana,GHA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.20832582,1.047044067,5.780945858,4.018953383,4.390631335,-1.468308017,3.0380027,1.830512477,1.190223042,3.721742988
Gibraltar,GIB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,
Guinea,GIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.230534126,8.012162454,7.515899921,3.687008739,2.946402444,2.066949976,2.969210094,1.42306328,2.975025025,3.166839784
"Gambia, The",GMB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.251372481,-0.701007891,2.208075467,4.667874305,3.74848296,-1.763187113,2.793045884,3.073814015,2.413403442,3.365758653
Guinea-Bissau,GNB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.440719781,2.817656989,2.144543054,1.32710524,3.12319463,-0.182995607,2.907244466,3.243892448,2.144320264,2.52743179
Equatorial Guinea,GNQ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-12.49171427,-12.0971099,-8.94053555,-9.370419052,-8.52391282,-7.358746574,-1.5665204,0.661786259,-7.349844197,-1.490351685
Greece,GRC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.431225576,0.384851865,1.674020149,2.271951322,2.38497558,-9.001164553,9.984684958,7.084329926,2.639880388,2.436955089
Grenada,GRD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.940268306,3.330520483,4.160022955,4.133216552,0.424779227,-14.02348962,4.376164624,7.114200995,4.529556403,3.581587099
Greenland,GRL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.214918882,4.547808581,0.077664774,0.890684741,2.462731594,-0.001762479,1.121017116,1.990153725,0.504111002,
Guatemala,GTM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.202044943,0.803225141,1.222021181,1.698363049,2.448136415,-3.220077328,6.560160413,2.72968988,1.951093092,2.066533354
Guam,GUM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.180921237,0.591903023,1.348607122,-0.333833095,3.075478686,-10.71199466,1.078305018,4.177265865,,
Guyana,GUY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.083371193,3.159363224,3.068871824,1.396045628,3.251561782,43.5123463,18.88204386,62.11107131,33.03144243,42.55534035
High income,HIC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.705476853,1.213541581,2.024053745,2.015011487,1.570780075,-4.130503376,5.968885662,2.510510335,1.081617835,1.272342471
"Hong Kong SAR, China",HKG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.519959412,1.544552418,3.001483377,2.027206171,-2.396634506,-6.208739179,7.429489879,-2.805300449,0.612247418,2.704737945
Honduras,HND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.88202222,1.960510683,2.921072783,1.961968725,0.719361516,-10.54841749,10.70299037,2.411845511,1.814897327,1.824018399
Heavily indebted poor countries (HIPC),HPC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.978431934,1.488715498,1.99548037,1.293254444,1.601344399,-2.491232895,1.466656335,2.293501392,0.841678816,2.548577508
Croatia,HRV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.552342243,4.591202433,4.95383381,4.262511704,4.128600627,-7.487474621,13.65450803,7.937400538,3.1942825,3.637351122
