Country Name,Country Code,Region,Year,GDP_Per_Capita,GDP_Per_Capita_Growth_Annual_Pct,Female_PostSecondary_Education_Pct,Male_PostSecondary_Education_Pct,Labour_Force_Participation_Female_Pct,Labour_Force_Participation_Male_Pct,Maternal_Mortality_Ratio_Per_100k,Women_in_Parliament_Pct,Adult_Literacy_Rate_Female_Pct,Adult_Literacy_Rate_Male_Pct,Adult_Literacy_Rate_Combined_Pct,Gender_Discrimination_Law,Gender_Discrimination_Law_Binary,Maternity_Leave_Days,Paternity_Leave_Days,Shared_Parental_Leave_Days,Youth_Not_In_Edu_Employment_Training_Female_Pct,Youth_Not_In_Edu_Employment_Training_Male_Pct,Youth_Not_In_Edu_Employment_Training_Total_Pct,Unemployment_Female_Pct,Unemployment_Male_Pct,Unemployment_Total_Pct,wei_edu_score,wei_econ_score,wei_safety_score,wei_score,Financial_Inclusion_Female,Financial_Inclusion_Male
American Samoa,ASM,East Asia & Pacific,2019,12886.13595,0.897584681,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
American Samoa,ASM,East Asia & Pacific,2020,14489.25866,5.351787426,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
American Samoa,ASM,East Asia & Pacific,2021,15236.16049,0.29788482,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
American Samoa,ASM,East Asia & Pacific,2022,18017.45894,3.593276063,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
American Samoa,ASM,East Asia & Pacific,2023,13826.937155,1.52352023075,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
American Samoa,ASM,East Asia & Pacific,2024,13826.937155,1.52352023075,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0
Andorra,AND,Europe & Central Asia,2015,38654.93472,3.630797937,32.86999893,31.96999931,0,0,10,39.28571429,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.16434999465,0.3333333333333333,0.5932367610438515,0.3191235331210544,0,0
Andorra,AND,Europe & Central Asia,2016,40129.8192,3.699620468,32.63000107,31.82999992,0,0,10,32.14285714,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.16315000535,0.3333333333333333,0.5456177133771848,0.3095884617189967,0,0
Andorra,AND,Europe & Central Asia,2017,40672.99433,-1.806057033,35.21999995,34.66666666333333,0,0,11,32.14285714,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.17609999975,0.3333333333333333,0.5453953429079831,0.3175288388734139,0,0
Andorra,AND,Europe & Central Asia,2018,42819.77458,-0.302119304,35.21999995,34.66666666333333,0,0,11,32.14285714,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0.17609999975,0.3333333333333333,0.5453953429079831,0.3175288388734139,0,0
